strain	virus	accession	date	region	country	division	city	db	segment	authors
USVI/46/2016	zika	VI46	2016-07-15	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/5/2016	zika	VI5	2016-10-17	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/6/2016	zika	VI6	2016-10-19	north_america	usvi	saint_john	saint_john	fh	genome	Black
USVI/7/2016	zika	VI7	2016-10-27	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
V103344	zika	KU501216	2015-12-01	north_america	guatemala	guatemala	guatemala	genbank	genome	Lanciotti
V103451	zika	KX262887	2016-01-06	north_america	honduras	honduras	honduras	genbank	genome	Lanciotti
V17271	zika	KU758877	2015-12-XX	south_america	french_guiana	french_guiana	french_guiana	genbank	genome	Enfissi
V8375	zika	KU501217	2015-11-01	north_america	guatemala	guatemala	guatemala	genbank	genome	Lanciotti
VEN/UF_1/2016	zika	KX702400	2016-03-25	south_america	venezuela	venezuela	venezuela	genbank	genome	Blohm
VEN/UF_2/2016	zika	KX893855	2016-03-25	south_america	venezuela	venezuela	venezuela	genbank	genome	Blohm
Z1106033	zika	KU312312	2015-10-02	south_america	suriname	suriname	suriname	genbank	genome	Enfissi
Z16006	zika	KU955589	2016-02-16	oceania	american_samoa	american_samoa	american_samoa	genbank	genome	Wu
Z16019	zika	KU955590	2016-02-26	south_america	venezuela	venezuela	venezuela	genbank	genome	Wu
mex07/Mexico/2016	zika	KY606272	2016-08-05	north_america	mexico	mexico	mexico	genbank	genome	Chiu
mex48/Mexico/2016	zika	KY606273	2016-06-30	north_america	mexico	mexico	mexico	genbank	genome	Chiu
